IPK, Pengetahuan di bidang atau disiplin ilmu anda                                         (rendah)1-5(tinggi),Pengetahuan di luar bidang atau disiplin ilmu anda        (rendah)1-5(tinggi),Pengetahuan umum                  (rendah)1-5(tinggi),Ketrampilan internet                          (rendah)1-5(tinggi),Ketrampilan komputer                          (rendah)1-5(tinggi),Ketrampilan                    Sistem Keamanan Komputer (rendah)1-5(tinggi),Ketrampilan                    Jaringan Komputer (rendah)1-5(tinggi),Ketrampilan Program Aplikasi WEB                    (rendah)1-5(tinggi),Ketrampilan Program Aplikasi Multimedia                     (rendah)1-5(tinggi),Ketrampilan Program Aplikasi Android                          (rendah)1-5(tinggi),Ketrampilan Program Aplikasi Database                          (rendah)1-5(tinggi),Berpikir kritis                          (rendah)1-5(tinggi),Bahasa Inggris                       (rendah)1-5(tinggi) ,Ketrampilan riset                            (rendah)1-5(tinggi),Kemampuan berkomunikasi                (rendah)1-5(tinggi),Kemampuan Bekerja di bawah tekanan                              (rendah)1-5(tinggi),Manajemen waktu                    (rendah)1-5(tinggi) ,Bekerja secara mandiri                       (rendah)1-5(tinggi)    ,Bekerja dalam tim/bekerjasama dengan orang lain                   (rendah)1-5(tinggi),Kemampuan dalam memecahkan masalah                           (rendah)1-5(tinggi)   ,Kemampuan analisis          (rendah)1-5(tinggi) ,Toleransi                             (rendah)1-5(tinggi),Kemampuan adaptasi                         (rendah)1-5(tinggi),Loyalitas                             (rendah)1-5(tinggi),Integritas f                          (rendah)1-5(tinggi),Kepemimpinan                             (rendah)1-5(tinggi),Kemampuan dalam memegang tanggungjawab                        (rendah)1-5(tinggi),Inisiatif                          (rendah)1-5(tinggi),Kemampuan untuk memresentasikan ide/produk/laporan              (rendah)1-5(tinggi) ,"Kemampuan dalam menulis laporan, memo dan dokumen                    (rendah)1-5(tinggi)",Posisi Pekerjaan
2.49,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,5,5,5,5,4,3,5,5,5,5,5,5,5,3,3,Networking engineer
3.01,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.07,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.78,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.92,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.0,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.47,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
2.82,5,5,5,3,5,3,3,4,3,4,5,5,5,4,5,5,5,3,5,4,3,5,5,5,5,5,3,5,5,5,EDP Operator
3.02,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
2.95,5,5,5,5,5,5,3,3,3,2,3,5,5,5,4,1,5,4,5,5,5,4,5,5,5,5,5,5,5,4,Sistem analis
2.82,5,5,5,5,5,3,3,3,3,3,3,4,5,3,5,5,5,5,5,3,2,5,5,5,5,3,5,5,5,5,System administrator
3.08,4,4,5,5,5,4,5,3,3,3,3,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,Staff IT Network
3.03,5,5,5,5,5,2,2,3,3,2,3,4,5,4,5,5,5,5,4,4,4,5,5,5,5,3,5,5,5,5,Recepsionist
2.94,3,3,3,5,5,3,3,4,4,5,3,3,5,3,5,5,5,5,5,5,3,5,5,5,5,3,5,5,5,5,Call Centre
2.94,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,5,4,5,5,5,4,Programmer
2.92,5,5,5,5,5,4,3,5,5,5,5,4,5,5,3,3,5,5,5,5,4,5,5,5,5,4,5,5,3,3,Software engineer
3.04,4,5,5,5,5,3,3,5,5,3,4,5,5,5,5,3,5,5,5,5,4,5,5,5,5,3,5,5,4,3,Web Programmer
3.12,5,5,5,5,5,5,5,3,3,3,4,5,5,4,5,5,5,5,5,4,3,5,5,5,5,5,5,5,3,3,Networking engineer
3.66,4,4,5,5,5,4,5,3,3,3,3,5,5,4,4,5,5,5,5,5,4,5,4,5,5,5,5,5,4,4,Staff IT Network
3.01,4,5,5,5,5,3,3,5,5,3,4,5,5,5,5,3,5,5,5,5,4,5,5,5,5,3,5,5,4,3,Web Programmer
