IPK; Pengetahuan di bidang atau disiplin ilmu anda                                         (rendah)1-5(tinggi);Pengetahuan di luar bidang atau disiplin ilmu anda        (rendah)1-5(tinggi);Pengetahuan umum                  (rendah)1-5(tinggi);Ketrampilan internet                          (rendah)1-5(tinggi);Ketrampilan komputer                          (rendah)1-5(tinggi);Ketrampilan                    Sistem Keamanan Komputer (rendah)1-5(tinggi);Ketrampilan                    Jaringan Komputer (rendah)1-5(tinggi);Ketrampilan Program Aplikasi WEB                    (rendah)1-5(tinggi);Ketrampilan Program Aplikasi Multimedia                     (rendah)1-5(tinggi);Ketrampilan Program Aplikasi Android                          (rendah)1-5(tinggi);Ketrampilan Program Aplikasi Database                          (rendah)1-5(tinggi);Berpikir kritis                          (rendah)1-5(tinggi);Bahasa Inggris                       (rendah)1-5(tinggi) ;Ketrampilan riset                            (rendah)1-5(tinggi);Kemampuan berkomunikasi                (rendah)1-5(tinggi);Kemampuan Bekerja di bawah tekanan                              (rendah)1-5(tinggi);Manajemen waktu                    (rendah)1-5(tinggi) ;Bekerja secara mandiri                       (rendah)1-5(tinggi)    ;Bekerja dalam tim/bekerjasama dengan orang lain                   (rendah)1-5(tinggi);Kemampuan dalam memecahkan masalah                           (rendah)1-5(tinggi)   ;Kemampuan analisis          (rendah)1-5(tinggi) ;Toleransi                             (rendah)1-5(tinggi);Kemampuan adaptasi                         (rendah)1-5(tinggi);Loyalitas                             (rendah)1-5(tinggi);Integritas f                          (rendah)1-5(tinggi);Kepemimpinan                             (rendah)1-5(tinggi);Kemampuan dalam memegang tanggungjawab                        (rendah)1-5(tinggi);Inisiatif                          (rendah)1-5(tinggi);Kemampuan untuk memresentasikan ide/produk/laporan              (rendah)1-5(tinggi) ;Kemampuan dalam menulis laporan, memo dan dokumen                    (rendah)1-5(tinggi);Posisi Pekerjaan;;;;;;
249;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;5;5;5;5;4;3;5;5;5;5;5;5;5;3;3;Networking engineer;;;;;;
301;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
307;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
278;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
292;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
300;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
247;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
282;5;5;5;3;5;3;3;4;3;4;5;5;5;4;5;5;5;3;5;4;3;5;5;5;5;5;3;5;5;5;EDP Operator;;;;;;
302;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
295;5;5;5;5;5;5;3;3;3;2;3;5;5;5;4;1;5;4;5;5;5;4;5;5;5;5;5;5;5;4;Sistem analis;;;;;;
282;5;5;5;5;5;3;3;3;3;3;3;4;5;3;5;5;5;5;5;3;2;5;5;5;5;3;5;5;5;5;System administrator;;;;;;
308;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
303;5;5;5;5;5;2;2;3;3;2;3;4;5;4;5;5;5;5;4;4;4;5;5;5;5;3;5;5;5;5;Recepsionist;;;;;;
294;3;3;3;5;5;3;3;4;4;5;3;3;5;3;5;5;5;5;5;5;3;5;5;5;5;3;5;5;5;5;Call Centre;;;;;;
294;5;5;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4;5;5;5;4;Programmer;;;;;;
292;5;5;5;5;5;4;3;5;5;5;5;4;5;5;3;3;5;5;5;5;4;5;5;5;5;4;5;5;3;3;Software engineer;;;;;;
304;4;5;5;5;5;3;3;5;5;3;4;5;5;5;5;3;5;5;5;5;4;5;5;5;5;3;5;5;4;3;Web Programmer;;;;;;
312;5;5;5;5;5;5;5;3;3;3;4;5;5;4;5;5;5;5;5;4;3;5;5;5;5;5;5;5;3;3;Networking engineer;;;;;;
366;4;4;5;5;5;4;5;3;3;3;3;5;5;4;4;5;5;5;5;5;4;5;4;5;5;5;5;5;4;4;Staff IT Network;;;;;;
